System Qty:,25,,,,,,,,,Price/quantity,,,,,,,,,,,,price per,,,,,,,,,ext price,,,,,,,,
Cost/System,$36.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56k 0805,RC0805FR-0756KL,"R4,R6",2,100,https://www.digikey.com/product-detail/en/yageo/RC0805FR-0756KL/311-56.0KCRCT-ND/730980,,,,,0.1,,0.04,,,0.0163,,0.00731,,,,50,0.1,0.1,0.04,0.04,0.04,0.0163,0.0163,0.00731,,0.2,0.2,0.08,0.08,0.08,0.0652,0.326,0.2924,0.0652
"10k Thermistor though hole, 1.3"" leads",NTCLE203E3103HB0,TH1,1,25,https://www.digikey.com/product-detail/en/vishay-bc-components/NTCLE203E3103HB0/BC2444-ND/2230772,,,,,0.95,0.908,0.79,0.6944,0.5768,0.4913,0.4272,0.3738,,,,25,0.95,0.908,0.79,0.6944,0.5768,0.4913,0.4272,0.3738,,0.95,0.908,0.79,0.6944,1.1536,1.9652,8.544,14.952,0.6944
"Red LED 0603, 2mA 1.8V",TLMS1000-GS08,D1,1,25,https://www.digikey.com/product-detail/en/vishay-semiconductor-opto-division/TLMS1000-GS08/TLMS1000-GS08CT-ND/4743829,,,,,0.49,,0.356,,,0.232,0.16688,0.13061,,,,25,0.49,0.49,0.356,0.356,0.356,0.232,0.16688,0.13061,,0.49,0.49,0.356,0.356,0.712,0.928,3.3376,5.2244,0.356
PCB,AllPCB 27 * 40 mm,,1,25,https://www.allpcb.com/online_pcb_quote.html,,,,,5,1,0.7,0.32,0.28,0.17,,,,,,25,5,1,0.7,0.32,0.28,0.17,0.17,0.17,,5,1,0.7,0.32,0.56,0.68,3.4,6.8,0.32
PCBA,"100 SMT, 11 BOM",,1,25,https://www.allpcb.com/pcba_quote.html,,,,,88.31,17.662,9.338,4.0544,3.1272,2.52,,,,,,25,88.31,17.662,9.338,4.0544,3.1272,2.52,2.52,2.52,,88.31,17.662,9.338,4.0544,6.2544,10.08,50.4,100.8,4.0544
Resin,2 oz/egg,,1,25,https://www.mcmaster.com/8644K58,,,,,35.71,7.142,3.571,,,,,,,,,25,35.71,7.142,3.571,3.571,3.571,3.571,3.571,3.571,,35.71,7.142,3.571,3.571,7.142,14.284,71.42,142.84,3.571
Silicone,8595K14,,1,25,https://www.mcmaster.com/8595K14,https://www.mcmaster.com/8595K15,,,,14.34,2.868,1.586,,,,,,,,,25,14.34,2.868,1.586,1.586,1.586,1.586,1.586,1.586,,14.34,2.868,1.586,1.586,3.172,6.344,31.72,63.44,1.586
Mold release,1409K52,,1,25,https://www.mcmaster.com/1409K52,,,,,8.67,1.734,0.867,0.6936,0.867,0.867,,,,,,25,8.67,1.734,0.867,0.6936,0.867,0.867,0.867,0.867,,8.67,1.734,0.867,0.6936,1.734,3.468,17.34,34.68,0.6936
Compressed Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7833
Flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
